valor,cep,cidade,bairro,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
980000,69041010,Manaus,Tarumã,Avenida do Turismo,Casas,420m²,3,4,1
85000,69005141,Manaus,Centro,Avenida 7 de Setembro - de 890 a 1182 - lado par,Apartamentos,53m²,1,null,1
900000,69055021,Manaus,Parque 10 de Novembro,Avenida Maneca Marques,Apartamentos,155m²,3,3,3
350000,69041110,Manaus,Tarumã,Rua Professora Elvira Pinto,Casas,85m²,3,2,2
430000,69050290,Manaus,Parque 10 de Novembro,Rua Virgílio Freire,Apartamentos,106m²,4,2,3
420000,69054714,Manaus,Parque 10 de Novembro,Rua Jack London,Apartamentos,96m²,3,1,3
850000,69055680,Manaus,Parque 10 de Novembro,Rua Angélica Motta,Casas,280m²,3,3,3
5500000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,790m²,5 ou mais,5 ou mais,5 ou mais
230000,69097184,Manaus,Cidade Nova,Rua Alegria,Casas,120m²,2,2,1
60000000,69093330,Manaus,Colônia Santo Antônio,Rua Malvino Reis Neto,Casas,25m²,1,0,1
380000,69040050,Manaus,Dom Pedro I,Rua Hermes da Fonseca,Casas,300m²,3,null,2
54900,69019410,Manaus,Lago Azul,Avenida Professor Paulo Graça,Apartamentos,40m²,2,1,1
400000,69027350,Manaus,São Raimundo,Rua Caburi,Casas,300m²,4,2,3
160000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,70m²,2,2,2
250000,69033170,Manaus,São Jorge,Rua Desembargador Arthur Virgílio,Casas,336m²,4,1,2
65000,69039340,Manaus,Novo Israel,Beco Dom Pedro Massa,Casas,8588m²,2,2,1
635000,69090620,Manaus,Cidade Nova,Rua 3,Casas,650m²,5 ou mais,null,5 ou mais
190000,69098164,Manaus,Novo Aleixo,Rua Itaguacetuba,Casas,70m²,2,2,2
2600000,69037015,Manaus,Ponta Negra,Alameda França,Casas,1000m²,4,5 ou mais,5 ou mais
1900000,69041025,Manaus,Tarumã,Avenida Torquato Tapajós,Casas,558m²,4,5 ou mais,5 ou mais
165000,null,null,null,null,Casas,130m²,2,4,2
400000,69023250,Manaus,Tarumã-Açu,Avenida Saíra Amarela,Casas,73m²,3,2,2
125000,69095000,Manaus,Cidade Nova,Avenida Noel Nutels - de 851/852 a 2399/2400,Casas,58m²,4,2,2
320000,69058833,Manaus,Flores,Rua Dom Jackson D. Rodrigues,Apartamentos,59m²,2,2,2
3200000,69060020,Manaus,Aleixo,Avenida Ephigênio Salles,Casas,400m²,3,5 ou mais,4
55000,69036584,Manaus,Santo Agostinho,Beco Vila Verde,Casas,null,1,0,1
400000,69023250,Manaus,Tarumã-Açu,Avenida Saíra Amarela,Casas,73m²,3,2,1
130000,69078450,Manaus,Japiim,Rua Afonso de Albuquerque,Casas,120m²,3,1,1
