,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
4122,275000.0,Flores,Centro-Sul,Apartamentos,168.0,3.0,3.0,2.0
4136,400009.0,Novo Aleixo,Norte,Casas,100.0,3.0,2.0,2.0
4147,1600000.0,Parque 10 de Novembro,Centro-Sul,Casas,1500.0,5.0,3.0,5.0
4158,300052.0,Planalto,Centro-Oeste,Casas,90.0,3.0,2.0,2.0
4168,160134.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
4181,150000.0,Flores,Centro-Sul,Apartamentos,57.0,2.0,1.0,1.0
4195,850000.0,Centro,Sul,Apartamentos,228.0,5.0,2.0,4.0
4205,700001.0,Ponta Negra,Oeste,Casas,180.0,5.0,4.0,4.0
4216,350000.0,Santo Antônio,Oeste,Casas,195.0,3.0,2.0,2.0
4226,350000.0,Parque 10 de Novembro,Centro-Sul,Casas,84.0,3.0,2.0,2.0
4239,545000.0,São Geraldo,Centro-Sul,Apartamentos,117.0,3.0,2.0,3.0
4252,280000.0,São José Operário,Leste,Apartamentos,74.0,3.0,1.0,1.0
4262,155000.0,Da Paz,Centro-Oeste,Apartamentos,62.0,2.0,1.0,1.0
4276,170000.0,Lírio do Vale,Oeste,Casas,250.0,3.0,2.0,2.0
4286,490000.0,Flores,Centro-Sul,Apartamentos,79.0,2.0,2.0,2.0
4301,233000.0,Ponta Negra,Oeste,Apartamentos,44.0,2.0,1.0,1.0
4313,157870.0,Tarumã,Oeste,Apartamentos,41.0,2.0,1.0,1.0
4324,950000.0,Ponta Negra,Oeste,Casas,275.0,3.0,4.0,4.0
4335,75000.0,Nova Cidade,Norte,Casas,70.0,2.0,2.0,1.0
4345,244500.0,Lírio do Vale,Oeste,Casas,88.0,3.0,2.0,2.0
4356,240000.0,Centro,Sul,Apartamentos,53.0,1.0,1.0,1.0
4368,150000.0,Flores,Centro-Sul,Casas,300.0,5.0,2.0,4.0
4377,620131.0,Parque 10 de Novembro,Centro-Sul,Casas,150.0,3.0,2.0,4.0
4389,470000.0,Ponta Negra,Oeste,Apartamentos,110.0,3.0,2.0,3.0
4399,160000.0,Lago Azul,Norte,Apartamentos,80.0,2.0,1.0,1.0
4413,260000.0,Aleixo,Centro-Sul,Casas,42.0,2.0,2.0,2.0
4422,1600131.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
4432,318000.0,Alvorada,Centro-Oeste,Casas,300.0,3.0,3.0,3.0
4444,340380.0,Ponta Negra,Oeste,Apartamentos,66.0,2.0,1.0,2.0
4454,570000.0,Planalto,Centro-Oeste,Casas,200.0,3.0,5.0,3.0
4465,860000.0,Tarumã,Oeste,Casas,254.0,3.0,4.0,4.0
4476,9000000.0,Ponta Negra,Oeste,Casas,6000.0,4.0,5.0,5.0
4486,265000.0,Colônia Oliveira Machado,Sul,Casas,135.0,2.0,3.0,3.0
4496,570000.0,Adrianópolis,Centro-Sul,Apartamentos,135.0,3.0,2.0,1.0
