,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
1480,450000.0,Aleixo,Centro-Sul,Casas,287.0,4.0,3.0,2.0
1481,1400000.0,Parque 10 de Novembro,Centro-Sul,Casas,357.0,5.0,5.0,2.0
1482,350000.0,Nova Cidade,Norte,Casas,380.0,3.0,5.0,1.0
1483,179590.0,Planalto,Centro-Oeste,Apartamentos,38.0,2.0,1.0,1.0
1484,930000.0,Dom Pedro I,Centro-Oeste,Apartamentos,127.0,4.0,2.0,4.0
1485,880000.0,Adrianópolis,Centro-Sul,Apartamentos,131.0,3.0,2.0,4.0
1486,2100000.0,Adrianópolis,Centro-Sul,Apartamentos,162.0,3.0,4.0,4.0
1487,1180000.0,Ponta Negra,Oeste,Apartamentos,127.0,3.0,3.0,3.0
1488,200000.0,Aleixo,Centro-Sul,Apartamentos,57.0,2.0,1.0,1.0
1489,175000.0,Compensa,Oeste,Apartamentos,75.0,3.0,2.0,2.0
1490,343276.0,Ponta Negra,Oeste,Casas,59.0,2.0,1.0,2.0
1491,300000.0,Cidade Nova,Norte,Casas,113.0,2.0,2.0,2.0
1493,168000.0,Novo Israel,Norte,Apartamentos,41.0,2.0,1.0,1.0
1494,850000.0,Aleixo,Centro-Sul,Apartamentos,138.0,3.0,2.0,4.0
1495,1400000.0,Ponta Negra,Oeste,Apartamentos,169.0,4.0,3.0,4.0
1496,850000.0,Ponta Negra,Oeste,Casas,245.0,3.0,4.0,1.0
1497,470000.0,Dom Pedro I,Centro-Oeste,Apartamentos,84.0,3.0,1.0,1.0
1499,1250000.0,Parque 10 de Novembro,Centro-Sul,Casas,318.0,5.0,5.0,5.0
1500,180010.0,Cidade Nova,Norte,Casas,128.0,3.0,1.0,2.0
1501,204628.0,Ponta Negra,Oeste,Apartamentos,55.0,2.0,1.0,2.0
1502,150000.0,Parque 10 de Novembro,Centro-Sul,Casas,350.0,3.0,3.0,3.0
1506,690000.0,Colônia Terra Nova,Norte,Casas,140.0,3.0,2.0,4.0
1508,1400005.0,Ponta Negra,Oeste,Casas,230.0,3.0,5.0,4.0
1512,1800001.0,Chapada,Centro-Sul,Casas,220.0,3.0,3.0,4.0
1513,259000.0,Flores,Centro-Sul,Casas,110.0,2.0,2.0,2.0
1514,2200000.0,Flores,Centro-Sul,Casas,890.0,1.0,5.0,2.0
1515,1150000.0,Ponta Negra,Oeste,Casas,180.0,3.0,4.0,4.0
1516,150000.0,Cidade Nova,Norte,Casas,999.0,2.0,2.0,2.0
1518,450000.0,Tarumã-Açu,Oeste,Casas,225.0,3.0,2.0,2.0
1519,1400000.0,Colônia Terra Nova,Norte,Casas,230.0,4.0,2.0,5.0
1520,200000.0,Adrianópolis,Centro-Sul,Apartamentos,27.0,1.0,1.0,1.0
1521,85000.0,Gilberto Mestrinho,Leste,Casas,105.0,4.0,2.0,2.0
1522,1300000.0,Ponta Negra,Oeste,Apartamentos,134.0,3.0,2.0,4.0
1523,220000.0,Cidade Nova,Norte,Apartamentos,66.0,2.0,1.0,1.0
1525,243690.0,Ponta Negra,Oeste,Apartamentos,47.0,2.0,1.0,1.0
1528,600000.0,Colônia Terra Nova,Norte,Casas,165.0,3.0,4.0,4.0
1529,380130.0,Cidade Nova,Norte,Casas,70.0,3.0,2.0,2.0
1530,650004.0,Ponta Negra,Oeste,Casas,145.0,3.0,4.0,4.0
1531,370000.0,Coroado,Leste,Apartamentos,74.0,3.0,1.0,2.0
1533,300000.0,Lago Azul,Norte,Casas,119.0,2.0,5.0,1.0
1534,876700.0,Ponta Negra,Oeste,Apartamentos,123.0,3.0,2.0,3.0
1535,520000.0,Tarumã-Açu,Oeste,Casas,120.0,3.0,3.0,3.0
1536,550000.0,Flores,Centro-Sul,Apartamentos,136.0,3.0,2.0,3.0
1538,65000.0,Gilberto Mestrinho,Leste,Apartamentos,45.0,2.0,1.0,2.0
1539,344000.0,Ponta Negra,Oeste,Apartamentos,66.0,2.0,1.0,2.0
1540,430000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,82.0,3.0,2.0,3.0
1541,670000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,104.0,3.0,2.0,2.0
1542,590000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,286.0,3.0,3.0,5.0
1543,390000.0,Parque 10 de Novembro,Centro-Sul,Casas,200.0,4.0,2.0,3.0
1544,380000.0,Novo Aleixo,Norte,Casas,80.0,3.0,2.0,2.0
1545,970030.0,Ponta Negra,Oeste,Apartamentos,141.0,3.0,2.0,3.0
1547,325000.0,Alvorada,Centro-Oeste,Casas,160.0,4.0,2.0,2.0
1548,876690.0,Ponta Negra,Oeste,Apartamentos,123.0,3.0,2.0,2.0
1549,1300000.0,Novo Aleixo,Norte,Casas,180.0,4.0,4.0,4.0
1550,250000.0,Distrito Industrial I,Sul,Apartamentos,72.0,3.0,1.0,1.0
