,Unnamed: 0,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
2490,3202,65000.0,Santa Etelvina,Norte,Apartamentos,49.0,2.0,0.0,1.0
2499,3213,1000000.0,Flores,Centro-Sul,Casas,200.0,3.0,4.0,5.0
2508,3224,1850000.0,Adrianópolis,Centro-Sul,Apartamentos,300.0,4.0,4.0,5.0
2517,3235,550000.0,Flores,Centro-Sul,Apartamentos,120.0,3.0,2.0,4.0
2526,3246,180000.0,Colônia Terra Nova,Norte,Casas,160.0,1.0,5.0,1.0
2535,3256,509694.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,163.0,4.0,3.0,4.0
2544,3265,2500000.0,Ponta Negra,Oeste,Casas,380.0,3.0,5.0,5.0
2553,3281,480000.0,Planalto,Centro-Oeste,Casas,630.0,5.0,4.0,2.0
2562,3294,2000000.0,Ponta Negra,Oeste,Casas,497.0,5.0,5.0,5.0
2571,3305,1700000.0,Ponta Negra,Oeste,Casas,260.0,4.0,4.0,5.0
2580,3315,1335000.0,Adrianópolis,Centro-Sul,Apartamentos,147.0,3.0,2.0,2.0
2589,3325,180000.0,Cidade de Deus,Norte,Casas,90.0,2.0,4.0,2.0
2598,3335,1300000.0,Adrianópolis,Centro-Sul,Apartamentos,230.0,3.0,2.0,2.0
2607,3345,250000.0,Lírio do Vale,Oeste,Apartamentos,42.0,2.0,1.0,1.0
2616,3357,1500000.0,Tarumã-Açu,Oeste,Casas,2100.0,5.0,5.0,5.0
2625,3367,3800000.0,Parque 10 de Novembro,Centro-Sul,Casas,630.0,5.0,4.0,5.0
2634,3378,580000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,161.0,4.0,2.0,3.0
2643,3390,250000.0,Cidade Nova,Norte,Casas,100.0,2.0,4.0,3.0
2652,3402,450000.0,São Raimundo,Oeste,Casas,200.0,4.0,3.0,4.0
2661,3414,1430000.0,Ponta Negra,Oeste,Apartamentos,153.0,3.0,3.0,4.0
2670,3424,2500000.0,Flores,Centro-Sul,Casas,335.0,3.0,2.0,1.0
2679,3436,1500000.0,Ponta Negra,Oeste,Apartamentos,169.0,3.0,3.0,4.0
2688,3445,300000.0,São José Operário,Leste,Apartamentos,69.0,3.0,1.0,2.0
2697,3454,890000.0,Praça 14 de Janeiro,Sul,Apartamentos,360.0,4.0,3.0,5.0
2706,3464,900000.0,Ponta Negra,Oeste,Casas,170.0,3.0,4.0,4.0
2715,3476,65000.0,Tarumã,Oeste,Apartamentos,42.0,2.0,1.0,1.0
2724,3488,260000.0,Cidade Nova,Norte,Casas,140.0,3.0,1.0,2.0
2733,3499,2000037.0,Ponta Negra,Oeste,Casas,600.0,4.0,5.0,5.0
2742,3509,700000.0,Colônia Terra Nova,Norte,Casas,170.0,3.0,4.0,1.0
2751,3519,450000.0,Praça 14 de Janeiro,Sul,Casas,235.0,3.0,1.0,1.0
2760,3530,320091.0,Planalto,Centro-Oeste,Casas,444.0,4.0,3.0,2.0
2769,3542,900000.0,Ponta Negra,Oeste,Casas,170.0,3.0,4.0,1.0
2778,3554,490000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,79.0,3.0,2.0,2.0
2787,3565,850000.0,Tarumã,Oeste,Casas,300.0,3.0,2.0,3.0
2796,3577,65000.0,Centro,Sul,Casas,30.0,3.0,1.0,1.0
2805,3589,180000.0,Dom Pedro I,Centro-Oeste,Casas,300.0,3.0,3.0,3.0
2814,3600,1500000.0,Nossa Senhora das Graças,Centro-Sul,Casas,210.0,4.0,3.0,3.0
2823,3614,145000.0,Tarumã-Açu,Oeste,Apartamentos,42.0,2.0,1.0,1.0
2832,3625,170000.0,Nova Esperança,Oeste,Casas,120.0,3.0,2.0,2.0
2841,3635,180000.0,Tarumã,Oeste,Apartamentos,43.0,2.0,1.0,1.0
