valor,cep,cidade,bairro,zona,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
180000,69054060,Manaus,Parque 10 de Novembro,Centro-Sul,Rua 5,Casas,180,2,1,1
75000,69092000,Manaus,Nova Cidade,Norte,Avenida Tenente Roxana Bonessi (Cj Galiléia ll),Casas,null,1,1,1
140000,69095000,Manaus,Cidade Nova,Norte,Avenida Noel Nutels - de 851/852 a 2399/2400,Casas,50,3,1,2
380000,69053030,Manaus,Nossa Senhora das Graças,Centro-Sul,Avenida Rio Madeira,Apartamentos,85,3,1,2
450000,69057050,Manaus,Adrianópolis,Centro-Sul,Avenida Ephigênio Salles,Apartamentos,120,3,2,2
90000,69038561,Manaus,Lírio do Vale,Oeste,Rua Ilha Oregon,Apartamentos,42,2,1,1
135000,69050010,Manaus,Chapada,Centro-Sul,Avenida Djalma Batista - de 1/2 ao fim,Apartamentos,35,1,1,1
580001,69076785,Manaus,Japiim,Sul,Rua Airton Senna,Casas,300,3,4,3
400000,69028360,Manaus,Flores,Centro-Sul,Rua São Judas Tadeu,Apartamentos,79,3,4,1
450000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,88,3,2,2
350000,69054308,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Sendai,Casas,90,3,3,2
6200000,69060020,Manaus,Aleixo,Centro-Sul,Avenida Ephigênio Salles,Casas,550,4,4,5
250000,69037581,Manaus,Nova Esperança,Oeste,Rua da Prosperidade,Apartamentos,54,3,1,1
160000,69018150,Manaus,Lago Azul,Norte,Avenida Comendador José Cruz,Apartamentos,60,3,1,2
3000000,69050055,Manaus,Chapada,Centro-Sul,Avenida Doutor Theomário Pinto da Costa,Casas,600,5,5,4
500000,69055000,Manaus,Parque 10 de Novembro,Centro-Sul,Rua do Comércio,Casas,500,4,3,2
470000,69058411,Manaus,Flores,Centro-Sul,Rua Goiás,Apartamentos,82,3,2,2
400000,69041010,Manaus,Tarumã,Oeste,Avenida do Turismo,Casas,200,3,2,3
320000,69054641,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Dom Diogo de Souza,Casas,90,3,2,2
500000,69040070,Manaus,Dom Pedro I,Centro-Oeste,Rua Bartolomeu B da Silva,Apartamentos,84,3,2,3
900000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,155,3,4,4
1194840,69037061,Manaus,Ponta Negra,Oeste,Alameda Zaire,Apartamentos,165,4,3,5
200129,69021005,Manaus,Tarumã,Oeste,Avenida Dona Otília,Apartamentos,70,2,1,1
1800000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Casas,600,4,4,5
430000,69093770,Manaus,Colônia Santo Antônio,Norte,Avenida Max Teixeira - até 2999 - lado ímpar,Apartamentos,81,3,2,2
1519000,69057035,Manaus,Adrianópolis,Centro-Sul,Avenida Álvaro Maia,Apartamentos,300,4,null,5
300000,69033440,Manaus,São Jorge,Oeste,Rua Emília Ruas,Casas,250,3,1,2
1100000,69060020,Manaus,Aleixo,Centro-Sul,Avenida Ephigênio Salles,Apartamentos,195,3,3,5
380000,69090796,Manaus,Cidade Nova,Norte,Rua Capitão Braule Pinto,Casas,100,3,1,3
270131,69058000,Manaus,Flores,Centro-Sul,Conjunto Anavilhanas,Casas,70,2,2,2
